PassengerId,Survived,Survived,,Accuracy
1,0,0,Match,
2,0,0,,
3,0,0,Match,332
4,0,0,Match,
5,0,0,,
6,0,0,Match,
7,0,0,,
8,0,0,Match,
9,1,1,Match,
10,0,0,Match,
11,0,0,Match,
12,0,0,Match,
13,1,1,Match,
14,0,0,Match,
15,1,1,Match,
16,1,1,Match,
17,0,0,Match,
18,0,0,Match,
19,0,0,,
20,1,1,Match,
21,0,0,Match,
22,0,0,Match,
23,1,1,Match,
24,0,0,Match,
25,1,1,Match,
26,0,0,Match,
27,1,1,Match,
28,0,0,Match,
29,0,0,Match,
30,0,0,Match,
31,0,0,Match,
32,0,0,Match,
33,0,0,,
34,0,0,,
35,0,0,Match,
36,0,0,Match,
37,0,0,,
38,0,0,,
39,0,0,Match,
40,0,0,Match,
41,0,0,Match,
42,0,0,Match,
43,0,0,Match,
44,0,0,,
45,1,1,Match,
46,0,0,Match,
47,0,0,Match,
48,0,0,Match,
49,1,1,Match,
50,0,0,,
51,0,0,Match,
52,0,0,Match,
53,0,0,,
54,1,1,Match,
55,0,0,Match,
56,0,0,Match,
57,0,0,Match,
58,0,0,Match,
59,0,0,Match,
60,1,1,Match,
61,0,0,Match,
62,0,0,Match,
63,0,0,Match,
64,0,0,,
65,1,1,,
66,0,0,,
67,0,0,,
68,0,0,Match,
69,0,0,Match,
70,1,1,Match,
71,0,0,,
72,0,0,Match,
73,0,0,,
74,0,0,Match,
75,1,1,Match,
76,1,1,,
77,0,0,Match,
78,0,0,,
79,0,0,Match,
80,0,0,,
81,0,0,Match,
82,1,1,,
83,0,0,Match,
84,0,0,Match,
85,0,0,Match,
86,0,0,Match,
87,0,0,,
88,0,0,,
89,0,0,,
90,0,0,Match,
91,0,0,,
92,0,0,Match,
93,1,1,Match,
94,0,0,Match,
95,0,0,Match,
96,0,0,Match,
97,1,1,Match,
98,0,0,Match,
99,0,0,,
100,0,0,Match,
101,1,1,Match,
102,0,0,Match,
103,0,0,Match,
104,0,0,Match,
105,1,1,Match,
106,0,0,Match,
107,0,0,Match,
108,0,0,Match,
109,0,0,Match,
110,0,0,Match,
111,0,0,Match,
112,0,0,,
113,1,1,Match,
114,0,0,,
115,1,1,Match,
116,0,0,Match,
117,0,0,Match,
118,1,1,Match,
119,0,0,Match,
120,0,0,,
121,1,1,Match,
122,0,0,Match,
123,1,1,Match,
124,0,0,Match,
125,0,0,Match,
126,0,0,,
127,0,0,Match,
128,0,0,,
129,0,0,Match,
130,0,0,Match,
131,0,0,Match,
132,0,0,Match,
133,0,0,,
134,0,0,Match,
135,0,0,Match,
136,0,0,Match,
137,0,0,Match,
138,0,0,Match,
139,0,0,,
140,0,0,Match,
141,0,0,,
142,1,1,Match,
143,1,1,,
144,0,0,Match,
145,0,0,Match,
146,0,0,Match,
147,0,0,Match,
148,0,0,Match,
149,0,0,Match,
150,0,0,Match,
151,1,1,Match,
152,0,0,Match,
153,0,0,Match,
154,0,0,,
155,0,0,Match,
156,0,0,Match,
157,1,1,Match,
158,0,0,,
159,0,0,Match,
160,0,0,,
161,0,0,,
162,0,0,Match,
163,0,0,,
164,0,0,Match,
165,0,0,Match,
166,0,0,,
167,0,0,Match,
168,0,0,Match,
169,1,1,Match,
170,0,0,,
171,0,0,Match,
172,0,0,Match,
173,0,0,Match,
174,0,0,Match,
175,0,0,Match,
176,1,1,Match,
177,1,1,Match,
178,0,0,Match,
179,1,1,Match,
180,1,1,Match,
181,0,0,Match,
182,0,0,Match,
183,1,1,Match,
184,0,0,Match,
185,1,1,Match,
186,0,0,Match,
187,1,1,Match,
188,0,0,Match,
189,0,0,,
190,0,0,Match,
191,0,0,Match,
192,0,0,Match,
193,0,0,Match,
194,0,0,Match,
195,0,0,Match,
196,0,0,Match,
197,1,1,,
198,0,0,,
199,0,0,Match,
200,0,0,,
201,0,0,,
202,0,0,Match,
203,1,1,,
204,1,1,Match,
205,0,0,Match,
206,0,0,Match,
207,0,0,,
208,0,0,Match,
209,1,1,Match,
210,0,0,Match,
211,0,0,Match,
212,0,0,Match,
213,0,0,Match,
214,0,0,,
215,0,0,,
216,0,0,Match,
217,0,0,,
218,1,1,,
219,1,1,Match,
220,0,0,Match,
221,1,1,Match,
222,0,0,Match,
223,0,0,,
224,0,0,Match,
225,1,1,Match,
226,0,0,,
227,0,0,Match,
228,0,0,,
229,0,0,Match,
230,0,0,Match,
231,0,0,Match,
232,1,1,Match,
233,0,0,Match,
234,0,0,Match,
235,0,0,Match,
236,0,0,Match,
237,0,0,Match,
238,0,0,Match,
239,1,1,Match,
240,1,1,Match,
241,1,1,Match,
242,0,0,,
243,1,1,,
244,0,0,Match,
245,0,0,Match,
246,0,0,Match,
247,1,1,Match,
248,0,0,Match,
249,0,0,,
250,0,0,,
251,1,1,Match,
252,0,0,Match,
253,1,1,,
254,0,0,Match,
255,0,0,Match,
256,0,0,Match,
257,0,0,Match,
258,0,0,Match,
259,0,0,,
260,0,0,Match,
261,0,0,Match,
262,0,0,Match,
263,1,1,Match,
264,1,1,Match,
265,0,0,Match,
266,0,0,Match,
267,0,0,Match,
268,0,0,Match,
269,0,0,,
270,0,0,Match,
271,0,0,Match,
272,0,0,Match,
273,1,1,Match,
274,0,0,,
275,0,0,Match,
276,0,0,,
277,0,0,Match,
278,0,0,Match,
279,0,0,Match,
280,0,0,Match,
281,0,0,,
282,0,0,Match,
283,0,0,,
284,1,1,Match,
285,1,1,Match,
286,0,0,Match,
287,0,0,Match,
288,0,0,Match,
289,0,0,Match,
290,0,0,Match,
291,0,0,Match,
292,0,0,,
293,0,0,Match,
294,0,0,Match,
295,0,0,Match,
296,0,0,Match,
