state_or_territory,year,month,day,locally_acquired_cases,presumptive_viremic_blood_donors,symptomatic_disease_cases,travel_associated_cases
Arkansas,2016,Feb,3,0.0,0.0,0.0,1.0
California,2016,Feb,3,0.0,0.0,0.0,2.0
District of Columbia,2016,Feb,3,0.0,0.0,0.0,3.0
Florida,2016,Feb,3,0.0,0.0,0.0,9.0
Georgia,2016,Feb,3,0.0,0.0,0.0,1.0
Hawaii,2016,Feb,3,0.0,0.0,0.0,3.0
Illinois,2016,Feb,3,0.0,0.0,0.0,3.0
Massachusetts,2016,Feb,3,0.0,0.0,0.0,2.0
Minnesota,2016,Feb,3,0.0,0.0,0.0,1.0
New Jersey,2016,Feb,3,0.0,0.0,0.0,1.0
Texas,2016,Feb,3,0.0,0.0,0.0,8.0
Virginia,2016,Feb,3,0.0,0.0,0.0,1.0
Puerto Rico,2016,Feb,3,8.0,0.0,0.0,1.0
US Virgin Islands,2016,Feb,3,1.0,0.0,0.0,0.0
Arkansas,2016,Feb,10,0.0,0.0,0.0,1.0
California,2016,Feb,10,0.0,0.0,0.0,2.0
Delaware,2016,Feb,10,0.0,0.0,0.0,1.0
District of Columbia,2016,Feb,10,0.0,0.0,0.0,3.0
Florida,2016,Feb,10,0.0,0.0,0.0,16.0
Georgia,2016,Feb,10,0.0,0.0,0.0,1.0
Hawaii,2016,Feb,10,0.0,0.0,0.0,4.0
Illinois,2016,Feb,10,0.0,0.0,0.0,3.0
Massachusetts,2016,Feb,10,0.0,0.0,0.0,2.0
Minnesota,2016,Feb,10,0.0,0.0,0.0,1.0
Nebraska,2016,Feb,10,0.0,0.0,0.0,2.0
New Jersey,2016,Feb,10,0.0,0.0,0.0,1.0
Ohio,2016,Feb,10,0.0,0.0,0.0,1.0
Oregon,2016,Feb,10,0.0,0.0,0.0,1.0
Pennsylvania,2016,Feb,10,0.0,0.0,0.0,2.0
Texas,2016,Feb,10,0.0,0.0,0.0,10.0
Virginia,2016,Feb,10,0.0,0.0,0.0,1.0
Puerto Rico,2016,Feb,10,8.0,0.0,0.0,1.0
US Virgin Islands,2016,Feb,10,1.0,0.0,0.0,0.0
Alabama,2016,Feb,17,0.0,0.0,0.0,1.0
Arkansas,2016,Feb,17,0.0,0.0,0.0,1.0
California,2016,Feb,17,0.0,0.0,0.0,6.0
Delaware,2016,Feb,17,0.0,0.0,0.0,1.0
District of Columbia,2016,Feb,17,0.0,0.0,0.0,3.0
Florida,2016,Feb,17,0.0,0.0,0.0,21.0
Georgia,2016,Feb,17,0.0,0.0,0.0,1.0
Hawaii,2016,Feb,17,0.0,0.0,0.0,4.0
Illinois,2016,Feb,17,0.0,0.0,0.0,4.0
Indiana,2016,Feb,17,0.0,0.0,0.0,1.0
Maryland,2016,Feb,17,0.0,0.0,0.0,1.0
Massachusetts,2016,Feb,17,0.0,0.0,0.0,2.0
Minnesota,2016,Feb,17,0.0,0.0,0.0,1.0
Nebraska,2016,Feb,17,0.0,0.0,0.0,2.0
New Jersey,2016,Feb,17,0.0,0.0,0.0,1.0
New York,2016,Feb,17,0.0,0.0,0.0,11.0
Ohio,2016,Feb,17,0.0,0.0,0.0,4.0
Oregon,2016,Feb,17,0.0,0.0,0.0,1.0
Pennsylvania,2016,Feb,17,0.0,0.0,0.0,2.0
Tennessee,2016,Feb,17,0.0,0.0,0.0,1.0
Texas,2016,Feb,17,0.0,0.0,0.0,12.0
Virginia,2016,Feb,17,0.0,0.0,0.0,1.0
Puerto Rico,2016,Feb,17,8.0,0.0,0.0,1.0
US Virgin Islands,2016,Feb,17,1.0,0.0,0.0,0.0
Alabama,2016,Feb,26,0.0,0.0,0.0,1.0
Arkansas,2016,Feb,26,0.0,0.0,0.0,1.0
California,2016,Feb,26,0.0,0.0,0.0,6.0
Delaware,2016,Feb,26,0.0,0.0,0.0,1.0
District of Columbia,2016,Feb,26,0.0,0.0,0.0,3.0
Florida,2016,Feb,26,0.0,0.0,0.0,28.0
Georgia,2016,Feb,26,0.0,0.0,0.0,1.0
Hawaii,2016,Feb,26,0.0,0.0,0.0,4.0
Illinois,2016,Feb,26,0.0,0.0,0.0,4.0
Indiana,2016,Feb,26,0.0,0.0,0.0,1.0
Iowa,2016,Feb,26,0.0,0.0,0.0,1.0
Louisiana,2016,Feb,26,0.0,0.0,0.0,1.0
Maryland,2016,Feb,26,0.0,0.0,0.0,3.0
Massachusetts,2016,Feb,26,0.0,0.0,0.0,2.0
Minnesota,2016,Feb,26,0.0,0.0,0.0,3.0
Nebraska,2016,Feb,26,0.0,0.0,0.0,2.0
New Jersey,2016,Feb,26,0.0,0.0,0.0,1.0
New York,2016,Feb,26,0.0,0.0,0.0,17.0
Ohio,2016,Feb,26,0.0,0.0,0.0,4.0
Oregon,2016,Feb,26,0.0,0.0,0.0,1.0
Pennsylvania,2016,Feb,26,0.0,0.0,0.0,4.0
Tennessee,2016,Feb,26,0.0,0.0,0.0,1.0
Texas,2016,Feb,26,0.0,0.0,0.0,13.0
Virginia,2016,Feb,26,0.0,0.0,0.0,3.0
Washington,2016,Feb,26,0.0,0.0,0.0,1.0
American Samoa,2016,Feb,26,4.0,0.0,0.0,0.0
Puerto Rico,2016,Feb,26,34.0,0.0,0.0,1.0
US Virgin Islands,2016,Feb,26,1.0,0.0,0.0,0.0
Alabama,2016,Mar,2,0.0,0.0,0.0,1.0
Arkansas,2016,Mar,2,0.0,0.0,0.0,1.0
California,2016,Mar,2,0.0,0.0,0.0,10.0
Colorado,2016,Mar,2,0.0,0.0,0.0,2.0
Delaware,2016,Mar,2,0.0,0.0,0.0,1.0
District of Columbia,2016,Mar,2,0.0,0.0,0.0,3.0
Florida,2016,Mar,2,0.0,0.0,0.0,42.0
Georgia,2016,Mar,2,0.0,0.0,0.0,2.0
Hawaii,2016,Mar,2,0.0,0.0,0.0,4.0
Illinois,2016,Mar,2,0.0,0.0,0.0,5.0
Indiana,2016,Mar,2,0.0,0.0,0.0,2.0
Iowa,2016,Mar,2,0.0,0.0,0.0,3.0
Louisiana,2016,Mar,2,0.0,0.0,0.0,1.0
Maryland,2016,Mar,2,0.0,0.0,0.0,3.0
Massachusetts,2016,Mar,2,0.0,0.0,0.0,3.0
Michigan,2016,Mar,2,0.0,0.0,0.0,1.0
Minnesota,2016,Mar,2,0.0,0.0,0.0,3.0
Montana,2016,Mar,2,0.0,0.0,0.0,1.0
Nebraska,2016,Mar,2,0.0,0.0,0.0,2.0
New Jersey,2016,Mar,2,0.0,0.0,0.0,1.0
New York,2016,Mar,2,0.0,0.0,0.0,23.0
North Carolina,2016,Mar,2,0.0,0.0,0.0,2.0
Ohio,2016,Mar,2,0.0,0.0,0.0,5.0
Oregon,2016,Mar,2,0.0,0.0,0.0,5.0
Pennsylvania,2016,Mar,2,0.0,0.0,0.0,5.0
Tennessee,2016,Mar,2,0.0,0.0,0.0,1.0
Texas,2016,Mar,2,0.0,0.0,0.0,15.0
Virginia,2016,Mar,2,0.0,0.0,0.0,5.0
Washington,2016,Mar,2,0.0,0.0,0.0,1.0
American Samoa,2016,Mar,2,4.0,0.0,0.0,0.0
Puerto Rico,2016,Mar,2,102.0,0.0,0.0,1.0
US Virgin Islands,2016,Mar,2,1.0,0.0,0.0,0.0
Alabama,2016,Mar,9,0.0,0.0,0.0,1.0
Arkansas,2016,Mar,9,0.0,0.0,0.0,1.0
California,2016,Mar,9,0.0,0.0,0.0,13.0
Colorado,2016,Mar,9,0.0,0.0,0.0,2.0
Delaware,2016,Mar,9,0.0,0.0,0.0,1.0
District of Columbia,2016,Mar,9,0.0,0.0,0.0,3.0
Florida,2016,Mar,9,0.0,0.0,0.0,49.0
Georgia,2016,Mar,9,0.0,0.0,0.0,5.0
Hawaii,2016,Mar,9,0.0,0.0,0.0,5.0
Illinois,2016,Mar,9,0.0,0.0,0.0,7.0
Indiana,2016,Mar,9,0.0,0.0,0.0,3.0
Iowa,2016,Mar,9,0.0,0.0,0.0,3.0
Louisiana,2016,Mar,9,0.0,0.0,0.0,2.0
Maryland,2016,Mar,9,0.0,0.0,0.0,4.0
Massachusetts,2016,Mar,9,0.0,0.0,0.0,3.0
Michigan,2016,Mar,9,0.0,0.0,0.0,2.0
Minnesota,2016,Mar,9,0.0,0.0,0.0,6.0
Missouri,2016,Mar,9,0.0,0.0,0.0,1.0
Montana,2016,Mar,9,0.0,0.0,0.0,1.0
Nebraska,2016,Mar,9,0.0,0.0,0.0,2.0
New Hampshire,2016,Mar,9,0.0,0.0,0.0,1.0
New Jersey,2016,Mar,9,0.0,0.0,0.0,2.0
New York,2016,Mar,9,0.0,0.0,0.0,25.0
North Carolina,2016,Mar,9,0.0,0.0,0.0,5.0
Ohio,2016,Mar,9,0.0,0.0,0.0,6.0
Oklahoma,2016,Mar,9,0.0,0.0,0.0,2.0
Oregon,2016,Mar,9,0.0,0.0,0.0,5.0
Pennsylvania,2016,Mar,9,0.0,0.0,0.0,6.0
Tennessee,2016,Mar,9,0.0,0.0,0.0,1.0
Texas,2016,Mar,9,0.0,0.0,0.0,19.0
Virginia,2016,Mar,9,0.0,0.0,0.0,6.0
Washington,2016,Mar,9,0.0,0.0,0.0,1.0
American Samoa,2016,Mar,9,13.0,0.0,0.0,0.0
Puerto Rico,2016,Mar,9,159.0,0.0,0.0,1.0
US Virgin Islands,2016,Mar,9,1.0,0.0,0.0,0.0
Alabama,2016,Mar,16,0.0,0.0,0.0,1.0
Arkansas,2016,Mar,16,0.0,0.0,0.0,1.0
California,2016,Mar,16,0.0,0.0,0.0,13.0
Colorado,2016,Mar,16,0.0,0.0,0.0,2.0
Delaware,2016,Mar,16,0.0,0.0,0.0,1.0
District of Columbia,2016,Mar,16,0.0,0.0,0.0,3.0
Florida,2016,Mar,16,0.0,0.0,0.0,59.0
Georgia,2016,Mar,16,0.0,0.0,0.0,7.0
Hawaii,2016,Mar,16,0.0,0.0,0.0,5.0
Illinois,2016,Mar,16,0.0,0.0,0.0,7.0
Indiana,2016,Mar,16,0.0,0.0,0.0,4.0
Iowa,2016,Mar,16,0.0,0.0,0.0,4.0
Kansas,2016,Mar,16,0.0,0.0,0.0,1.0
Kentucky,2016,Mar,16,0.0,0.0,0.0,1.0
Louisiana,2016,Mar,16,0.0,0.0,0.0,2.0
Maryland,2016,Mar,16,0.0,0.0,0.0,5.0
Massachusetts,2016,Mar,16,0.0,0.0,0.0,3.0
Michigan,2016,Mar,16,0.0,0.0,0.0,2.0
Minnesota,2016,Mar,16,0.0,0.0,0.0,7.0
Missouri,2016,Mar,16,0.0,0.0,0.0,1.0
Montana,2016,Mar,16,0.0,0.0,0.0,1.0
Nebraska,2016,Mar,16,0.0,0.0,0.0,2.0
New Hampshire,2016,Mar,16,0.0,0.0,0.0,2.0
New Jersey,2016,Mar,16,0.0,0.0,0.0,2.0
New York,2016,Mar,16,0.0,0.0,0.0,42.0
North Carolina,2016,Mar,16,0.0,0.0,0.0,6.0
Ohio,2016,Mar,16,0.0,0.0,0.0,8.0
Oklahoma,2016,Mar,16,0.0,0.0,0.0,3.0
Oregon,2016,Mar,16,0.0,0.0,0.0,6.0
Pennsylvania,2016,Mar,16,0.0,0.0,0.0,8.0
Tennessee,2016,Mar,16,0.0,0.0,0.0,1.0
Texas,2016,Mar,16,0.0,0.0,0.0,34.0
Virginia,2016,Mar,16,0.0,0.0,0.0,7.0
Washington,2016,Mar,16,0.0,0.0,0.0,2.0
West Virginia,2016,Mar,16,0.0,0.0,0.0,5.0
American Samoa,2016,Mar,16,14.0,0.0,0.0,0.0
Puerto Rico,2016,Mar,16,259.0,0.0,0.0,2.0
US Virgin Islands,2016,Mar,16,10.0,0.0,0.0,1.0
Alabama,2016,Mar,23,0.0,0.0,0.0,2.0
Arkansas,2016,Mar,23,0.0,0.0,0.0,1.0
California,2016,Mar,23,0.0,0.0,0.0,17.0
Colorado,2016,Mar,23,0.0,0.0,0.0,2.0
Connecticut,2016,Mar,23,0.0,0.0,0.0,1.0
Delaware,2016,Mar,23,0.0,0.0,0.0,3.0
District of Columbia,2016,Mar,23,0.0,0.0,0.0,3.0
Florida,2016,Mar,23,0.0,0.0,0.0,70.0
Georgia,2016,Mar,23,0.0,0.0,0.0,7.0
Hawaii,2016,Mar,23,0.0,0.0,0.0,5.0
Illinois,2016,Mar,23,0.0,0.0,0.0,9.0
Indiana,2016,Mar,23,0.0,0.0,0.0,4.0
Iowa,2016,Mar,23,0.0,0.0,0.0,4.0
Kansas,2016,Mar,23,0.0,0.0,0.0,1.0
Kentucky,2016,Mar,23,0.0,0.0,0.0,2.0
Louisiana,2016,Mar,23,0.0,0.0,0.0,2.0
Maryland,2016,Mar,23,0.0,0.0,0.0,5.0
Massachusetts,2016,Mar,23,0.0,0.0,0.0,3.0
Michigan,2016,Mar,23,0.0,0.0,0.0,2.0
Minnesota,2016,Mar,23,0.0,0.0,0.0,9.0
Missouri,2016,Mar,23,0.0,0.0,0.0,1.0
Montana,2016,Mar,23,0.0,0.0,0.0,1.0
Nebraska,2016,Mar,23,0.0,0.0,0.0,2.0
New Hampshire,2016,Mar,23,0.0,0.0,0.0,2.0
New Jersey,2016,Mar,23,0.0,0.0,0.0,2.0
New York,2016,Mar,23,0.0,0.0,0.0,43.0
North Carolina,2016,Mar,23,0.0,0.0,0.0,7.0
Ohio,2016,Mar,23,0.0,0.0,0.0,8.0
Oklahoma,2016,Mar,23,0.0,0.0,0.0,3.0
Oregon,2016,Mar,23,0.0,0.0,0.0,6.0
Pennsylvania,2016,Mar,23,0.0,0.0,0.0,8.0
Tennessee,2016,Mar,23,0.0,0.0,0.0,1.0
Texas,2016,Mar,23,0.0,0.0,0.0,23.0
Virginia,2016,Mar,23,0.0,0.0,0.0,7.0
Washington,2016,Mar,23,0.0,0.0,0.0,2.0
West Virginia,2016,Mar,23,0.0,0.0,0.0,5.0
American Samoa,2016,Mar,23,14.0,0.0,0.0,0.0
Puerto Rico,2016,Mar,23,258.0,0.0,0.0,3.0
US Virgin Islands,2016,Mar,23,10.0,0.0,0.0,1.0
Alabama,2016,Mar,30,0.0,0.0,0.0,2.0
Arizona,2016,Mar,30,0.0,0.0,0.0,1.0
Arkansas,2016,Mar,30,0.0,0.0,0.0,1.0
California,2016,Mar,30,0.0,0.0,0.0,17.0
Colorado,2016,Mar,30,0.0,0.0,0.0,2.0
Connecticut,2016,Mar,30,0.0,0.0,0.0,1.0
Delaware,2016,Mar,30,0.0,0.0,0.0,3.0
District of Columbia,2016,Mar,30,0.0,0.0,0.0,3.0
Florida,2016,Mar,30,0.0,0.0,0.0,74.0
Georgia,2016,Mar,30,0.0,0.0,0.0,9.0
Hawaii,2016,Mar,30,0.0,0.0,0.0,5.0
Illinois,2016,Mar,30,0.0,0.0,0.0,9.0
Indiana,2016,Mar,30,0.0,0.0,0.0,5.0
Iowa,2016,Mar,30,0.0,0.0,0.0,4.0
Kansas,2016,Mar,30,0.0,0.0,0.0,1.0
Kentucky,2016,Mar,30,0.0,0.0,0.0,3.0
Louisiana,2016,Mar,30,0.0,0.0,0.0,2.0
Maine,2016,Mar,30,0.0,0.0,0.0,1.0
Maryland,2016,Mar,30,0.0,0.0,0.0,6.0
Massachusetts,2016,Mar,30,0.0,0.0,0.0,7.0
Michigan,2016,Mar,30,0.0,0.0,0.0,2.0
Minnesota,2016,Mar,30,0.0,0.0,0.0,12.0
Mississippi,2016,Mar,30,0.0,0.0,0.0,2.0
Missouri,2016,Mar,30,0.0,0.0,0.0,1.0
Montana,2016,Mar,30,0.0,0.0,0.0,1.0
Nebraska,2016,Mar,30,0.0,0.0,0.0,2.0
